,drug1,drug2,cell,synergy,fold,SynClass
2502,CARBOPLATIN,AZD1775,DLD1,-5.434746683,0,0
2507,CARBOPLATIN,AZD1775,HT29,12.29236402,0,1
2508,CARBOPLATIN,AZD1775,KPL1,10.65696368,0,1
2509,CARBOPLATIN,AZD1775,LNCAP,-4.760845757,0,0
2511,CARBOPLATIN,AZD1775,MDAMB436,11.68738395,0,1
2512,CARBOPLATIN,AZD1775,MSTO,-7.713255136,0,0
2513,CARBOPLATIN,AZD1775,NCIH1650,20.60543285,0,1
2514,CARBOPLATIN,AZD1775,NCIH2122,-2.855947821,0,0
2515,CARBOPLATIN,AZD1775,NCIH23,-8.638057918,0,0
2517,CARBOPLATIN,AZD1775,NCIH520,-0.652269083,0,0
2518,CARBOPLATIN,AZD1775,OCUBM,19.32646595,0,1
2519,CARBOPLATIN,AZD1775,OV90,-6.175086086,0,0
2520,CARBOPLATIN,AZD1775,OVCAR3,43.82447818,0,1
2521,CARBOPLATIN,AZD1775,PA1,12.01417562,0,1
2522,CARBOPLATIN,AZD1775,RKO,11.33361692,0,1
2524,CARBOPLATIN,AZD1775,SKMEL30,10.49117304,0,1
2526,CARBOPLATIN,AZD1775,SKOV3,18.26232824,0,1
2527,CARBOPLATIN,AZD1775,SW620,-5.326798928,0,0
2529,CARBOPLATIN,AZD1775,T47D,-6.150639911,0,0
2531,CARBOPLATIN,AZD1775,UWB1289,70.15141306,0,1
2533,CARBOPLATIN,AZD1775,VCAP,-0.966999032,0,0
2534,CARBOPLATIN,AZD1775,ZR751,-5.660102576,0,0
2535,CARBOPLATIN,BEZ-235,A2058,-6.074527607,2,0
2536,CARBOPLATIN,BEZ-235,A2780,22.40667404,2,1
2537,CARBOPLATIN,BEZ-235,A375,61.59260176,2,1
2538,CARBOPLATIN,BEZ-235,A427,15.63519202,2,1
2539,CARBOPLATIN,BEZ-235,CAOV3,26.17423208,2,1
2540,CARBOPLATIN,BEZ-235,COLO320DM,27.94712378,2,1
2541,CARBOPLATIN,BEZ-235,DLD1,25.00519336,2,1
2543,CARBOPLATIN,BEZ-235,ES2,18.7488882,2,1
2544,CARBOPLATIN,BEZ-235,HCT116,35.44634659,2,1
2545,CARBOPLATIN,BEZ-235,HT144,26.63108275,2,1
2546,CARBOPLATIN,BEZ-235,HT29,33.24999869,2,1
2547,CARBOPLATIN,BEZ-235,KPL1,28.41849182,2,1
2548,CARBOPLATIN,BEZ-235,LNCAP,51.33644168,2,1
2549,CARBOPLATIN,BEZ-235,LOVO,30.01072674,2,1
2550,CARBOPLATIN,BEZ-235,MDAMB436,29.03134626,2,1
2552,CARBOPLATIN,BEZ-235,NCIH1650,29.91315518,2,1
2553,CARBOPLATIN,BEZ-235,NCIH2122,16.55311332,2,1
2554,CARBOPLATIN,BEZ-235,NCIH23,42.18142697,2,1
2555,CARBOPLATIN,BEZ-235,NCIH460,62.99607998,2,1
2556,CARBOPLATIN,BEZ-235,NCIH520,27.23991968,2,1
2557,CARBOPLATIN,BEZ-235,OCUBM,19.10585693,2,1
2558,CARBOPLATIN,BEZ-235,OV90,26.44910871,2,1
2560,CARBOPLATIN,BEZ-235,PA1,18.06650536,2,1
2561,CARBOPLATIN,BEZ-235,RKO,21.67941966,2,1
2562,CARBOPLATIN,BEZ-235,RPMI7951,14.6945954,2,1
2563,CARBOPLATIN,BEZ-235,SKMEL30,34.989681,2,1
2564,CARBOPLATIN,BEZ-235,SKMES1,19.29537584,2,1
2565,CARBOPLATIN,BEZ-235,SKOV3,-6.232224846,2,0
2566,CARBOPLATIN,BEZ-235,SW620,13.57824467,2,1
2567,CARBOPLATIN,BEZ-235,SW837,27.21217509,2,1
2568,CARBOPLATIN,BEZ-235,T47D,107.9732847,2,1
2569,CARBOPLATIN,BEZ-235,UACC62,30.80556593,2,1
2571,CARBOPLATIN,BEZ-235,UWB1289BRCA1,22.74065263,2,1
2572,CARBOPLATIN,BEZ-235,VCAP,26.95615883,2,1
2574,CARBOPLATIN,BORTEZOMIB,A2058,-15.81349783,1,0
2575,CARBOPLATIN,BORTEZOMIB,A2780,-18.20108583,1,0
2576,CARBOPLATIN,BORTEZOMIB,A375,27.07714957,1,1
2577,CARBOPLATIN,BORTEZOMIB,A427,-7.195475802,1,0
2578,CARBOPLATIN,BORTEZOMIB,CAOV3,-43.53796854,1,0
2579,CARBOPLATIN,BORTEZOMIB,COLO320DM,-5.959322977,1,0
2580,CARBOPLATIN,BORTEZOMIB,DLD1,15.44214685,1,1
2581,CARBOPLATIN,BORTEZOMIB,EFM192B,-15.8477608,1,0
2582,CARBOPLATIN,BORTEZOMIB,ES2,-15.74418934,1,0
2583,CARBOPLATIN,BORTEZOMIB,HCT116,22.66750473,1,1
2585,CARBOPLATIN,BORTEZOMIB,HT29,-14.87691148,1,0
2586,CARBOPLATIN,BORTEZOMIB,KPL1,17.55357842,1,1
2587,CARBOPLATIN,BORTEZOMIB,LNCAP,-37.4313717,1,0
2588,CARBOPLATIN,BORTEZOMIB,LOVO,17.17220066,1,1
2590,CARBOPLATIN,BORTEZOMIB,MSTO,61.6441241,1,1
2591,CARBOPLATIN,BORTEZOMIB,NCIH1650,-19.43807637,1,0
2592,CARBOPLATIN,BORTEZOMIB,NCIH2122,21.12136217,1,1
2593,CARBOPLATIN,BORTEZOMIB,NCIH23,-13.66824762,1,0
2594,CARBOPLATIN,BORTEZOMIB,NCIH460,-4.633031103,1,0
2595,CARBOPLATIN,BORTEZOMIB,NCIH520,-33.80801207,1,0
2596,CARBOPLATIN,BORTEZOMIB,OCUBM,-2.983426116,1,0
2597,CARBOPLATIN,BORTEZOMIB,OV90,-3.815011921,1,0
2598,CARBOPLATIN,BORTEZOMIB,OVCAR3,-19.53073488,1,0
2599,CARBOPLATIN,BORTEZOMIB,PA1,-26.80019025,1,0
2600,CARBOPLATIN,BORTEZOMIB,RKO,23.93071456,1,1
2601,CARBOPLATIN,BORTEZOMIB,RPMI7951,-20.36941743,1,0
2602,CARBOPLATIN,BORTEZOMIB,SKMEL30,-1.493747636,1,0
2603,CARBOPLATIN,BORTEZOMIB,SKMES1,-20.60228195,1,0
2604,CARBOPLATIN,BORTEZOMIB,SKOV3,-19.2884252,1,0
2607,CARBOPLATIN,BORTEZOMIB,T47D,-49.58871529,1,0
2608,CARBOPLATIN,BORTEZOMIB,UACC62,-10.78724735,1,0
2609,CARBOPLATIN,BORTEZOMIB,UWB1289,-36.03757421,1,0
2610,CARBOPLATIN,BORTEZOMIB,UWB1289BRCA1,-10.43453137,1,0
2611,CARBOPLATIN,BORTEZOMIB,VCAP,-10.81324567,1,0
2612,CARBOPLATIN,BORTEZOMIB,ZR751,30.4483021,1,1
2613,CARBOPLATIN,DASATINIB,A2058,36.55631235,0,1
2614,CARBOPLATIN,DASATINIB,A2780,63.0464369,0,1
2615,CARBOPLATIN,DASATINIB,A375,12.76325379,0,1
2616,CARBOPLATIN,DASATINIB,A427,32.28492491,0,1
2617,CARBOPLATIN,DASATINIB,CAOV3,27.89095269,0,1
2619,CARBOPLATIN,DASATINIB,DLD1,-0.197079177,0,0
2620,CARBOPLATIN,DASATINIB,EFM192B,26.30049775,0,1
2622,CARBOPLATIN,DASATINIB,HCT116,-31.47329527,0,0
2623,CARBOPLATIN,DASATINIB,HT144,-29.28648393,0,0
2624,CARBOPLATIN,DASATINIB,HT29,14.89429346,0,1
2625,CARBOPLATIN,DASATINIB,KPL1,11.06709011,0,1
2626,CARBOPLATIN,DASATINIB,LNCAP,-6.06132707,0,0
2627,CARBOPLATIN,DASATINIB,LOVO,42.00388849,0,1
2628,CARBOPLATIN,DASATINIB,MDAMB436,22.76505079,0,1
2629,CARBOPLATIN,DASATINIB,MSTO,57.59637034,0,1
2630,CARBOPLATIN,DASATINIB,NCIH1650,31.87699816,0,1
2631,CARBOPLATIN,DASATINIB,NCIH2122,-68.82801598,0,0
2633,CARBOPLATIN,DASATINIB,NCIH460,10.68651791,0,1
2634,CARBOPLATIN,DASATINIB,NCIH520,37.28491173,0,1
2636,CARBOPLATIN,DASATINIB,OV90,-1.408698774,0,0
2637,CARBOPLATIN,DASATINIB,OVCAR3,76.83615454,0,1
2638,CARBOPLATIN,DASATINIB,PA1,27.80460032,0,1
2639,CARBOPLATIN,DASATINIB,RKO,18.58899755,0,1
2641,CARBOPLATIN,DASATINIB,SKMEL30,-27.09030659,0,0
2643,CARBOPLATIN,DASATINIB,SKOV3,-8.514250008,0,0
2644,CARBOPLATIN,DASATINIB,SW620,15.6871389,0,1
2645,CARBOPLATIN,DASATINIB,SW837,16.77232534,0,1
2646,CARBOPLATIN,DASATINIB,T47D,-33.14228116,0,0
2650,CARBOPLATIN,DASATINIB,VCAP,29.0665221,0,1
2652,CARBOPLATIN,DINACICLIB,A2058,-19.95747162,1,0
2653,CARBOPLATIN,DINACICLIB,A2780,-1.841154546,1,0
2655,CARBOPLATIN,DINACICLIB,A427,-10.53552869,1,0
2656,CARBOPLATIN,DINACICLIB,CAOV3,-24.82670415,1,0
2657,CARBOPLATIN,DINACICLIB,COLO320DM,-5.205674417,1,0
2658,CARBOPLATIN,DINACICLIB,DLD1,-8.327349752,1,0
2659,CARBOPLATIN,DINACICLIB,EFM192B,-15.91833179,1,0
2660,CARBOPLATIN,DINACICLIB,ES2,-11.29425912,1,0
2661,CARBOPLATIN,DINACICLIB,HCT116,-9.065488124,1,0
2662,CARBOPLATIN,DINACICLIB,HT144,-3.090013319,1,0
2663,CARBOPLATIN,DINACICLIB,HT29,-6.729760429,1,0
2664,CARBOPLATIN,DINACICLIB,KPL1,-12.7052747,1,0
2665,CARBOPLATIN,DINACICLIB,LNCAP,10.0297049,1,1
2666,CARBOPLATIN,DINACICLIB,LOVO,-2.044819159,1,0
2668,CARBOPLATIN,DINACICLIB,MSTO,-15.38971734,1,0
2669,CARBOPLATIN,DINACICLIB,NCIH1650,-5.246602943,1,0
2670,CARBOPLATIN,DINACICLIB,NCIH2122,-6.47054898,1,0
2671,CARBOPLATIN,DINACICLIB,NCIH23,-11.78334128,1,0
2672,CARBOPLATIN,DINACICLIB,NCIH460,-6.259301849,1,0
2673,CARBOPLATIN,DINACICLIB,NCIH520,-17.96937542,1,0
2674,CARBOPLATIN,DINACICLIB,OCUBM,-0.958303272,1,0
2675,CARBOPLATIN,DINACICLIB,OV90,-18.91682886,1,0
2676,CARBOPLATIN,DINACICLIB,OVCAR3,-15.04866023,1,0
2677,CARBOPLATIN,DINACICLIB,PA1,-7.033524665,1,0
2679,CARBOPLATIN,DINACICLIB,RPMI7951,-8.876754993,1,0
2680,CARBOPLATIN,DINACICLIB,SKMEL30,-9.932358999,1,0
2681,CARBOPLATIN,DINACICLIB,SKMES1,-6.581484315,1,0
2682,CARBOPLATIN,DINACICLIB,SKOV3,-27.09062181,1,0
2683,CARBOPLATIN,DINACICLIB,SW620,-6.377867155,1,0
2684,CARBOPLATIN,DINACICLIB,SW837,-15.4178226,1,0
2685,CARBOPLATIN,DINACICLIB,T47D,-76.6840883,1,0
2687,CARBOPLATIN,DINACICLIB,UWB1289,-6.597758039,1,0
2688,CARBOPLATIN,DINACICLIB,UWB1289BRCA1,-10.01199663,1,0
2689,CARBOPLATIN,DINACICLIB,VCAP,-4.684342044,1,0
2690,CARBOPLATIN,DINACICLIB,ZR751,-9.821462401,1,0
2691,CARBOPLATIN,ERLOTINIB,A2058,-7.666082701,0,0
2693,CARBOPLATIN,ERLOTINIB,A375,11.12190981,0,1
2697,CARBOPLATIN,ERLOTINIB,DLD1,-6.264516549,0,0
2698,CARBOPLATIN,ERLOTINIB,EFM192B,-9.571818622,0,0
2699,CARBOPLATIN,ERLOTINIB,ES2,-5.581038758,0,0
2701,CARBOPLATIN,ERLOTINIB,HT144,-5.531550137,0,0
2703,CARBOPLATIN,ERLOTINIB,KPL1,16.25053977,0,1
2705,CARBOPLATIN,ERLOTINIB,LOVO,20.16588576,0,1
2707,CARBOPLATIN,ERLOTINIB,MSTO,-12.91358398,0,0
2708,CARBOPLATIN,ERLOTINIB,NCIH1650,-7.976512941,0,0
2709,CARBOPLATIN,ERLOTINIB,NCIH2122,12.04845717,0,1
2710,CARBOPLATIN,ERLOTINIB,NCIH23,-11.59287646,0,0
2712,CARBOPLATIN,ERLOTINIB,NCIH520,-11.30191609,0,0
2713,CARBOPLATIN,ERLOTINIB,OCUBM,19.46151725,0,1
2714,CARBOPLATIN,ERLOTINIB,OV90,-11.56268319,0,0
2716,CARBOPLATIN,ERLOTINIB,PA1,-17.48724963,0,0
2718,CARBOPLATIN,ERLOTINIB,RPMI7951,-9.189800072,0,0
2719,CARBOPLATIN,ERLOTINIB,SKMEL30,-2.097137031,0,0
2720,CARBOPLATIN,ERLOTINIB,SKMES1,15.36150953,0,1
2721,CARBOPLATIN,ERLOTINIB,SKOV3,-7.411041211,0,0
2722,CARBOPLATIN,ERLOTINIB,SW620,-5.224596139,0,0
2723,CARBOPLATIN,ERLOTINIB,SW837,12.9715191,0,1
2724,CARBOPLATIN,ERLOTINIB,T47D,-27.82929323,0,0
2725,CARBOPLATIN,ERLOTINIB,UACC62,21.90614798,0,1
2728,CARBOPLATIN,ERLOTINIB,VCAP,31.53383947,0,1
2729,CARBOPLATIN,ERLOTINIB,ZR751,31.16733832,0,1
2733,CARBOPLATIN,GELDANAMYCIN,A427,-7.396824764,1,0
2734,CARBOPLATIN,GELDANAMYCIN,CAOV3,11.84783604,1,1
2735,CARBOPLATIN,GELDANAMYCIN,COLO320DM,14.78440366,1,1
2737,CARBOPLATIN,GELDANAMYCIN,EFM192B,-14.69971241,1,0
2739,CARBOPLATIN,GELDANAMYCIN,HCT116,16.22700938,1,1
2740,CARBOPLATIN,GELDANAMYCIN,HT144,-1.214146938,1,0
2741,CARBOPLATIN,GELDANAMYCIN,HT29,-14.20824045,1,0
2742,CARBOPLATIN,GELDANAMYCIN,KPL1,-6.14808973,1,0
2743,CARBOPLATIN,GELDANAMYCIN,LNCAP,-5.863142598,1,0
2744,CARBOPLATIN,GELDANAMYCIN,LOVO,-1.086357681,1,0
2746,CARBOPLATIN,GELDANAMYCIN,MSTO,-7.310020455,1,0
2747,CARBOPLATIN,GELDANAMYCIN,NCIH1650,-17.17816444,1,0
2748,CARBOPLATIN,GELDANAMYCIN,NCIH2122,-13.82894409,1,0
2749,CARBOPLATIN,GELDANAMYCIN,NCIH23,-14.84048435,1,0
2750,CARBOPLATIN,GELDANAMYCIN,NCIH460,-10.29219948,1,0
2751,CARBOPLATIN,GELDANAMYCIN,NCIH520,-5.174296883,1,0
2752,CARBOPLATIN,GELDANAMYCIN,OCUBM,19.83802901,1,1
2753,CARBOPLATIN,GELDANAMYCIN,OV90,-11.74914405,1,0
2754,CARBOPLATIN,GELDANAMYCIN,OVCAR3,-4.117966198,1,0
2755,CARBOPLATIN,GELDANAMYCIN,PA1,-8.021660165,1,0
2756,CARBOPLATIN,GELDANAMYCIN,RKO,13.51357951,1,1
2757,CARBOPLATIN,GELDANAMYCIN,RPMI7951,-5.78365295,1,0
2758,CARBOPLATIN,GELDANAMYCIN,SKMEL30,37.29371495,1,1
2759,CARBOPLATIN,GELDANAMYCIN,SKMES1,-7.937660565,1,0
2760,CARBOPLATIN,GELDANAMYCIN,SKOV3,-37.33862208,1,0
2761,CARBOPLATIN,GELDANAMYCIN,SW620,-24.43476091,1,0
2762,CARBOPLATIN,GELDANAMYCIN,SW837,-20.87283103,1,0
2763,CARBOPLATIN,GELDANAMYCIN,T47D,-71.20630142,1,0
2764,CARBOPLATIN,GELDANAMYCIN,UACC62,-9.669846923,1,0
2766,CARBOPLATIN,GELDANAMYCIN,UWB1289BRCA1,-25.36372552,1,0
2768,CARBOPLATIN,GELDANAMYCIN,ZR751,-34.84951104,1,0
2771,CARBOPLATIN,L778123,A375,-2.301953733,3,0
2773,CARBOPLATIN,L778123,CAOV3,-6.064886487,3,0
2774,CARBOPLATIN,L778123,COLO320DM,-4.154962869,3,0
2775,CARBOPLATIN,L778123,DLD1,-3.181728309,3,0
2776,CARBOPLATIN,L778123,EFM192B,-13.5446877,3,0
2777,CARBOPLATIN,L778123,ES2,-2.806642966,3,0
2778,CARBOPLATIN,L778123,HCT116,-7.790459361,3,0
2779,CARBOPLATIN,L778123,HT144,-7.339121505,3,0
2780,CARBOPLATIN,L778123,HT29,12.78179388,3,1
2781,CARBOPLATIN,L778123,KPL1,-8.643088451,3,0
2782,CARBOPLATIN,L778123,LNCAP,-3.925631977,3,0
2784,CARBOPLATIN,L778123,MDAMB436,-0.006106315,3,0
2785,CARBOPLATIN,L778123,MSTO,-17.33426569,3,0
2786,CARBOPLATIN,L778123,NCIH1650,-15.02989012,3,0
2789,CARBOPLATIN,L778123,NCIH460,-7.656799859,3,0
2790,CARBOPLATIN,L778123,NCIH520,-2.773454552,3,0
2792,CARBOPLATIN,L778123,OV90,-0.159034866,3,0
2793,CARBOPLATIN,L778123,OVCAR3,-28.37266333,3,0
2794,CARBOPLATIN,L778123,PA1,-4.684948406,3,0
2796,CARBOPLATIN,L778123,RPMI7951,-7.578800232,3,0
2797,CARBOPLATIN,L778123,SKMEL30,-4.103852167,3,0
2799,CARBOPLATIN,L778123,SKOV3,-1.550855541,3,0
2800,CARBOPLATIN,L778123,SW620,-13.83402497,3,0
2801,CARBOPLATIN,L778123,SW837,-2.40733831,3,0
2802,CARBOPLATIN,L778123,T47D,-31.79073985,3,0
2803,CARBOPLATIN,L778123,UACC62,-9.772898473,3,0
2804,CARBOPLATIN,L778123,UWB1289,13.53011157,3,1
2805,CARBOPLATIN,L778123,UWB1289BRCA1,-0.68206213,3,0
2808,CARBOPLATIN,LAPATINIB,A2058,-5.284885615,4,0
2811,CARBOPLATIN,LAPATINIB,A427,-15.05626094,4,0
2812,CARBOPLATIN,LAPATINIB,CAOV3,-2.549850481,4,0
2814,CARBOPLATIN,LAPATINIB,DLD1,-1.438849987,4,0
2816,CARBOPLATIN,LAPATINIB,ES2,-2.071941291,4,0
2818,CARBOPLATIN,LAPATINIB,HT144,10.20504319,4,1
2821,CARBOPLATIN,LAPATINIB,LNCAP,-31.01633863,4,0
2822,CARBOPLATIN,LAPATINIB,LOVO,29.26967698,4,1
2824,CARBOPLATIN,LAPATINIB,MSTO,-22.36100988,4,0
2825,CARBOPLATIN,LAPATINIB,NCIH1650,-3.912603388,4,0
2826,CARBOPLATIN,LAPATINIB,NCIH2122,-4.695955319,4,0
2827,CARBOPLATIN,LAPATINIB,NCIH23,-6.743798977,4,0
2828,CARBOPLATIN,LAPATINIB,NCIH460,-21.721153,4,0
2829,CARBOPLATIN,LAPATINIB,NCIH520,-6.657165866,4,0
2831,CARBOPLATIN,LAPATINIB,OV90,-15.3343322,4,0
2832,CARBOPLATIN,LAPATINIB,OVCAR3,21.07898694,4,1
2834,CARBOPLATIN,LAPATINIB,RKO,-5.360226105,4,0
2836,CARBOPLATIN,LAPATINIB,SKMEL30,-15.19171246,4,0
2838,CARBOPLATIN,LAPATINIB,SKOV3,-0.285454067,4,0
2839,CARBOPLATIN,LAPATINIB,SW620,-11.09715062,4,0
2841,CARBOPLATIN,LAPATINIB,T47D,-6.685440192,4,0
2842,CARBOPLATIN,LAPATINIB,UACC62,15.61508247,4,1
2843,CARBOPLATIN,LAPATINIB,UWB1289,-4.716091803,4,0
2845,CARBOPLATIN,LAPATINIB,VCAP,14.48055563,4,1
2846,CARBOPLATIN,LAPATINIB,ZR751,18.74172102,4,1
2848,CARBOPLATIN,MK-2206,A2780,11.71199123,4,1
2849,CARBOPLATIN,MK-2206,A375,20.22915656,4,1
2851,CARBOPLATIN,MK-2206,CAOV3,46.60076664,4,1
2853,CARBOPLATIN,MK-2206,DLD1,-4.415779226,4,0
2854,CARBOPLATIN,MK-2206,EFM192B,-37.69588947,4,0
2855,CARBOPLATIN,MK-2206,ES2,-2.104279801,4,0
2856,CARBOPLATIN,MK-2206,HCT116,34.11266685,4,1
2857,CARBOPLATIN,MK-2206,HT144,18.28886198,4,1
2858,CARBOPLATIN,MK-2206,HT29,16.46729176,4,1
2860,CARBOPLATIN,MK-2206,LNCAP,-31.20332341,4,0
2861,CARBOPLATIN,MK-2206,LOVO,-11.79848688,4,0
2862,CARBOPLATIN,MK-2206,MDAMB436,17.89518223,4,1
2863,CARBOPLATIN,MK-2206,MSTO,-16.99096249,4,0
2864,CARBOPLATIN,MK-2206,NCIH1650,12.0676345,4,1
2865,CARBOPLATIN,MK-2206,NCIH2122,-1.573056126,4,0
2866,CARBOPLATIN,MK-2206,NCIH23,-6.460278074,4,0
2867,CARBOPLATIN,MK-2206,NCIH460,13.10371461,4,1
2868,CARBOPLATIN,MK-2206,NCIH520,-5.34689033,4,0
2869,CARBOPLATIN,MK-2206,OCUBM,-24.81371048,4,0
2870,CARBOPLATIN,MK-2206,OV90,-1.587902966,4,0
2871,CARBOPLATIN,MK-2206,OVCAR3,-16.21619077,4,0
2872,CARBOPLATIN,MK-2206,PA1,17.83086281,4,1
2873,CARBOPLATIN,MK-2206,RKO,35.34757486,4,1
2875,CARBOPLATIN,MK-2206,SKMEL30,21.7903119,4,1
2876,CARBOPLATIN,MK-2206,SKMES1,-0.21728732,4,0
2877,CARBOPLATIN,MK-2206,SKOV3,-10.92221268,4,0
2878,CARBOPLATIN,MK-2206,SW620,21.96812448,4,1
2879,CARBOPLATIN,MK-2206,SW837,-2.426845304,4,0
2880,CARBOPLATIN,MK-2206,T47D,-43.91738999,4,0
2883,CARBOPLATIN,MK-2206,UWB1289BRCA1,10.97946783,4,1
2884,CARBOPLATIN,MK-2206,VCAP,-4.833249795,4,0
2885,CARBOPLATIN,MK-2206,ZR751,-15.41671552,4,0
2889,CARBOPLATIN,MK-4827,A427,-4.16591827,2,0
2890,CARBOPLATIN,MK-4827,CAOV3,-0.910421226,2,0
2891,CARBOPLATIN,MK-4827,COLO320DM,14.50197069,2,1
2892,CARBOPLATIN,MK-4827,DLD1,-10.95666922,2,0
2894,CARBOPLATIN,MK-4827,ES2,-11.78191068,2,0
2895,CARBOPLATIN,MK-4827,HCT116,14.9768517,2,1
2897,CARBOPLATIN,MK-4827,HT29,13.19481474,2,1
2898,CARBOPLATIN,MK-4827,KPL1,17.35701806,2,1
2899,CARBOPLATIN,MK-4827,LNCAP,-12.05081525,2,0
2900,CARBOPLATIN,MK-4827,LOVO,-12.1726948,2,0
2901,CARBOPLATIN,MK-4827,MDAMB436,12.53602134,2,1
2902,CARBOPLATIN,MK-4827,MSTO,-6.03105686,2,0
2903,CARBOPLATIN,MK-4827,NCIH1650,10.78236038,2,1
2905,CARBOPLATIN,MK-4827,NCIH23,-7.487608923,2,0
2908,CARBOPLATIN,MK-4827,OCUBM,17.85534461,2,1
2909,CARBOPLATIN,MK-4827,OV90,-9.005526846,2,0
2910,CARBOPLATIN,MK-4827,OVCAR3,16.53853264,2,1
2911,CARBOPLATIN,MK-4827,PA1,-1.424009821,2,0
2912,CARBOPLATIN,MK-4827,RKO,13.96157111,2,1
2913,CARBOPLATIN,MK-4827,RPMI7951,-0.31620399,2,0
2915,CARBOPLATIN,MK-4827,SKMES1,-0.015143814,2,0
2917,CARBOPLATIN,MK-4827,SW620,12.58177008,2,1
2918,CARBOPLATIN,MK-4827,SW837,-18.40104179,2,0
2919,CARBOPLATIN,MK-4827,T47D,-45.05215893,2,0
2920,CARBOPLATIN,MK-4827,UACC62,-3.091508635,2,0
2923,CARBOPLATIN,MK-4827,VCAP,26.42622312,2,1
2924,CARBOPLATIN,MK-4827,ZR751,-4.787798221,2,0
2925,CARBOPLATIN,MK-5108,A2058,-20.01384213,4,0
2926,CARBOPLATIN,MK-5108,A2780,15.80641566,4,1
2927,CARBOPLATIN,MK-5108,A375,16.66341051,4,1
2928,CARBOPLATIN,MK-5108,A427,-11.41444606,4,0
2929,CARBOPLATIN,MK-5108,CAOV3,-20.16584465,4,0
2930,CARBOPLATIN,MK-5108,COLO320DM,-1.211424724,4,0
2931,CARBOPLATIN,MK-5108,DLD1,-2.525171863,4,0
2932,CARBOPLATIN,MK-5108,EFM192B,-11.56481591,4,0
2933,CARBOPLATIN,MK-5108,ES2,10.54137097,4,1
2938,CARBOPLATIN,MK-5108,LNCAP,-39.25299902,4,0
2939,CARBOPLATIN,MK-5108,LOVO,-6.419117723,4,0
2942,CARBOPLATIN,MK-5108,NCIH1650,-11.55129095,4,0
2943,CARBOPLATIN,MK-5108,NCIH2122,-10.4698957,4,0
2945,CARBOPLATIN,MK-5108,NCIH460,-17.53249021,4,0
2946,CARBOPLATIN,MK-5108,NCIH520,-16.66840556,4,0
2947,CARBOPLATIN,MK-5108,OCUBM,-1.755799527,4,0
2948,CARBOPLATIN,MK-5108,OV90,-9.179406103,4,0
2949,CARBOPLATIN,MK-5108,OVCAR3,-16.51897059,4,0
2951,CARBOPLATIN,MK-5108,RKO,29.11045544,4,1
2952,CARBOPLATIN,MK-5108,RPMI7951,-6.509124445,4,0
2954,CARBOPLATIN,MK-5108,SKMES1,-9.324557536,4,0
2957,CARBOPLATIN,MK-5108,SW837,-15.75843953,4,0
2958,CARBOPLATIN,MK-5108,T47D,22.06855018,4,1
2959,CARBOPLATIN,MK-5108,UACC62,-4.110728644,4,0
2961,CARBOPLATIN,MK-5108,UWB1289BRCA1,-5.961142495,4,0
2964,CARBOPLATIN,MK-8669,A2058,15.2037347,1,1
2965,CARBOPLATIN,MK-8669,A2780,18.64613214,1,1
2966,CARBOPLATIN,MK-8669,A375,27.2673244,1,1
2967,CARBOPLATIN,MK-8669,A427,25.19398167,1,1
2968,CARBOPLATIN,MK-8669,CAOV3,23.40397281,1,1
2969,CARBOPLATIN,MK-8669,COLO320DM,13.64499259,1,1
2970,CARBOPLATIN,MK-8669,DLD1,-0.299593638,1,0
2971,CARBOPLATIN,MK-8669,EFM192B,41.00109484,1,1
2972,CARBOPLATIN,MK-8669,ES2,19.68104945,1,1
2973,CARBOPLATIN,MK-8669,HCT116,13.39213965,1,1
2975,CARBOPLATIN,MK-8669,HT29,26.92639087,1,1
2976,CARBOPLATIN,MK-8669,KPL1,51.64067036,1,1
2977,CARBOPLATIN,MK-8669,LNCAP,20.64574526,1,1
2978,CARBOPLATIN,MK-8669,LOVO,19.40428736,1,1
2979,CARBOPLATIN,MK-8669,MDAMB436,25.82712639,1,1
2980,CARBOPLATIN,MK-8669,MSTO,21.80049825,1,1
2981,CARBOPLATIN,MK-8669,NCIH1650,27.18042222,1,1
2982,CARBOPLATIN,MK-8669,NCIH2122,10.72366786,1,1
2984,CARBOPLATIN,MK-8669,NCIH460,28.52165788,1,1
2986,CARBOPLATIN,MK-8669,OCUBM,32.00567581,1,1
2987,CARBOPLATIN,MK-8669,OV90,11.90484501,1,1
2989,CARBOPLATIN,MK-8669,PA1,12.63574348,1,1
2990,CARBOPLATIN,MK-8669,RKO,35.52026131,1,1
2991,CARBOPLATIN,MK-8669,RPMI7951,28.85515546,1,1
2992,CARBOPLATIN,MK-8669,SKMEL30,38.98004749,1,1
2993,CARBOPLATIN,MK-8669,SKMES1,13.0604773,1,1
2994,CARBOPLATIN,MK-8669,SKOV3,24.87562939,1,1
2995,CARBOPLATIN,MK-8669,SW620,20.43023896,1,1
2996,CARBOPLATIN,MK-8669,SW837,22.18211015,1,1
2997,CARBOPLATIN,MK-8669,T47D,-30.60922974,1,0
2998,CARBOPLATIN,MK-8669,UACC62,22.86833164,1,1
3000,CARBOPLATIN,MK-8669,UWB1289BRCA1,10.11680658,1,1
3001,CARBOPLATIN,MK-8669,VCAP,37.00291381,1,1
3002,CARBOPLATIN,MK-8669,ZR751,15.03065321,1,1
3003,CARBOPLATIN,MK-8776,A2058,32.69822782,3,1
3004,CARBOPLATIN,MK-8776,A2780,15.97578225,3,1
