,drug1,drug2,cell,score,label,SynClass
2748,DOXORUBICIN,SORAFENIB,HT29,-13.3605129,0,0
2750,DOXORUBICIN,SORAFENIB,LNCAP,-10.73493807,0,0
2751,DOXORUBICIN,SORAFENIB,LOVO,-15.29786353,0,0
2752,DOXORUBICIN,SORAFENIB,MDAMB436,-16.18892584,0,0
2754,DOXORUBICIN,SORAFENIB,NCIH1650,-22.85367654,0,0
2755,DOXORUBICIN,SORAFENIB,NCIH2122,-12.79070237,0,0
2756,DOXORUBICIN,SORAFENIB,NCIH23,-13.26867902,0,0
2759,DOXORUBICIN,SORAFENIB,OV90,-14.13044098,0,0
2760,DOXORUBICIN,SORAFENIB,RKO,-12.0189401,0,0
2761,DOXORUBICIN,SORAFENIB,RPMI7951,-16.13219697,0,0
2763,DOXORUBICIN,SORAFENIB,SKMES1,-19.00794257,0,0
2764,DOXORUBICIN,SORAFENIB,SKOV3,-22.50246654,0,0
2766,DOXORUBICIN,SORAFENIB,SW837,-17.63687925,0,0
2769,DOXORUBICIN,SORAFENIB,VCAP,-17.31329588,0,0
2770,DOXORUBICIN,SORAFENIB,ZR751,-18.74222054,0,0
2773,DOXORUBICIN,SUNITINIB,A375,-31.96588485,0,0
2779,DOXORUBICIN,SUNITINIB,LNCAP,-23.84764824,0,0
2782,DOXORUBICIN,SUNITINIB,MSTO,-14.56283254,0,0
2785,DOXORUBICIN,SUNITINIB,NCIH23,-15.54788956,0,0
2787,DOXORUBICIN,SUNITINIB,NCIH520,-10.66924847,0,0
2788,DOXORUBICIN,SUNITINIB,OV90,-12.69968245,0,0
2790,DOXORUBICIN,SUNITINIB,RPMI7951,-12.95040498,0,0
2792,DOXORUBICIN,SUNITINIB,SKMES1,-16.63118696,0,0
2793,DOXORUBICIN,SUNITINIB,SKOV3,-14.38319177,0,0
2795,DOXORUBICIN,SUNITINIB,T47D,-12.09784645,0,0
2803,DOXORUBICIN,TEMOZOLOMIDE,KPL1,-17.7321459,0,0
2806,DOXORUBICIN,TEMOZOLOMIDE,MDAMB436,-12.98371133,0,0
2808,DOXORUBICIN,TEMOZOLOMIDE,NCIH2122,-11.3086724,0,0
2815,DOXORUBICIN,TEMOZOLOMIDE,SW837,-13.32181269,0,0
2816,DOXORUBICIN,TEMOZOLOMIDE,UACC62,-18.9433129,0,0
2818,DOXORUBICIN,TEMOZOLOMIDE,ZR751,-13.27729077,0,0
2820,DOXORUBICIN,ZOLINZA,A427,-11.11280124,0,0
2824,DOXORUBICIN,ZOLINZA,HT29,24.56828323,1,1
2826,DOXORUBICIN,ZOLINZA,LNCAP,25.43427623,1,1
2836,DOXORUBICIN,ZOLINZA,SKOV3,22.25581931,1,1
2838,DOXORUBICIN,ZOLINZA,T47D,22.84665169,1,1
2842,ERLOTINIB,ABT-888,ES2,-12.43349741,0,0
2845,ERLOTINIB,ABT-888,HT29,-11.26311941,0,0
2847,ERLOTINIB,ABT-888,LNCAP,-23.8823541,0,0
2848,ERLOTINIB,ABT-888,MSTO,52.03256407,1,1
2853,ERLOTINIB,ABT-888,OV90,-13.32020911,0,0
2857,ERLOTINIB,ABT-888,SW620,-11.64468066,0,0
2858,ERLOTINIB,ABT-888,T47D,-14.15331149,0,0
2860,ERLOTINIB,ABT-888,VCAP,-17.27573982,0,0
2862,ERLOTINIB,BEZ-235,A2058,30.44723473,1,1
2863,ERLOTINIB,BEZ-235,A2780,32.9904113,1,1
2864,ERLOTINIB,BEZ-235,A375,32.79138222,1,1
2865,ERLOTINIB,BEZ-235,A427,24.82046387,1,1
2866,ERLOTINIB,BEZ-235,CAOV3,53.23611483,1,1
2868,ERLOTINIB,BEZ-235,HCT116,40.74023865,1,1
2869,ERLOTINIB,BEZ-235,HT29,37.24732576,1,1
2870,ERLOTINIB,BEZ-235,KPL1,31.23105824,1,1
2871,ERLOTINIB,BEZ-235,LNCAP,85.15352215,1,1
2872,ERLOTINIB,BEZ-235,LOVO,38.90157501,1,1
2873,ERLOTINIB,BEZ-235,MDAMB436,34.3614618,1,1
2874,ERLOTINIB,BEZ-235,MSTO,40.76447271,1,1
2875,ERLOTINIB,BEZ-235,NCIH1650,26.76837282,1,1
2876,ERLOTINIB,BEZ-235,NCIH2122,53.94195019,1,1
2877,ERLOTINIB,BEZ-235,NCIH23,30.39517847,1,1
2878,ERLOTINIB,BEZ-235,NCIH460,34.65177323,1,1
2879,ERLOTINIB,BEZ-235,NCIH520,36.29686721,1,1
2880,ERLOTINIB,BEZ-235,OV90,23.65798387,1,1
2882,ERLOTINIB,BEZ-235,RPMI7951,33.10748025,1,1
2883,ERLOTINIB,BEZ-235,SKMEL30,40.3172508,1,1
2884,ERLOTINIB,BEZ-235,SKMES1,40.10436985,1,1
2885,ERLOTINIB,BEZ-235,SKOV3,33.22300939,1,1
2887,ERLOTINIB,BEZ-235,SW837,48.23512601,1,1
2888,ERLOTINIB,BEZ-235,T47D,141.790374,1,1
2889,ERLOTINIB,BEZ-235,UACC62,21.03592517,1,1
2890,ERLOTINIB,BEZ-235,VCAP,29.05193526,1,1
2891,ERLOTINIB,BEZ-235,ZR751,52.1263634,1,1
2893,ERLOTINIB,BORTEZOMIB,A2780,-23.08608321,0,0
2894,ERLOTINIB,BORTEZOMIB,A375,25.53971155,1,1
2895,ERLOTINIB,BORTEZOMIB,A427,-15.65410165,0,0
2896,ERLOTINIB,BORTEZOMIB,CAOV3,-18.43407369,0,0
2897,ERLOTINIB,BORTEZOMIB,ES2,-22.64897131,0,0
2898,ERLOTINIB,BORTEZOMIB,HT144,-16.19947167,0,0
2899,ERLOTINIB,BORTEZOMIB,HT29,-14.92795583,0,0
2900,ERLOTINIB,BORTEZOMIB,LNCAP,-17.80210878,0,0
2902,ERLOTINIB,BORTEZOMIB,MSTO,29.00394489,1,1
2903,ERLOTINIB,BORTEZOMIB,NCIH1650,-14.2940195,0,0
2906,ERLOTINIB,BORTEZOMIB,NCIH520,-23.84255611,0,0
2907,ERLOTINIB,BORTEZOMIB,OV90,-10.51068817,0,0
2909,ERLOTINIB,BORTEZOMIB,RPMI7951,-16.84735374,0,0
2910,ERLOTINIB,BORTEZOMIB,SKMES1,-11.42040437,0,0
2912,ERLOTINIB,BORTEZOMIB,SW837,29.48258491,1,1
2913,ERLOTINIB,BORTEZOMIB,T47D,-42.70233051,0,0
2914,ERLOTINIB,BORTEZOMIB,UACC62,-20.68908184,0,0
2917,ERLOTINIB,DASATINIB,A2058,50.85612673,1,1
2918,ERLOTINIB,DASATINIB,A2780,55.7433202,1,1
2919,ERLOTINIB,DASATINIB,A427,67.02852359,1,1
2920,ERLOTINIB,DASATINIB,CAOV3,35.76292632,1,1
2923,ERLOTINIB,DASATINIB,HT144,-44.27131648,0,0
2924,ERLOTINIB,DASATINIB,HT29,26.65382131,1,1
2926,ERLOTINIB,DASATINIB,LNCAP,30.85505426,1,1
2927,ERLOTINIB,DASATINIB,LOVO,39.95268983,1,1
2928,ERLOTINIB,DASATINIB,MDAMB436,20.86509131,1,1
2929,ERLOTINIB,DASATINIB,MSTO,-112.7046695,0,0
2930,ERLOTINIB,DASATINIB,NCIH1650,61.58695742,1,1
2932,ERLOTINIB,DASATINIB,NCIH23,21.80651781,1,1
2934,ERLOTINIB,DASATINIB,NCIH520,48.936706,1,1
2937,ERLOTINIB,DASATINIB,RPMI7951,20.22782323,1,1
2938,ERLOTINIB,DASATINIB,SKMEL30,-20.14259668,0,0
2939,ERLOTINIB,DASATINIB,SKMES1,55.34476194,1,1
2940,ERLOTINIB,DASATINIB,SKOV3,34.88545929,1,1
2941,ERLOTINIB,DASATINIB,SW620,31.19986694,1,1
2942,ERLOTINIB,DASATINIB,SW837,55.38902039,1,1
2944,ERLOTINIB,DASATINIB,UACC62,30.71440017,1,1
2946,ERLOTINIB,DASATINIB,ZR751,-53.72833547,0,0
2950,ERLOTINIB,DINACICLIB,LNCAP,25.47660754,1,1
2952,ERLOTINIB,DINACICLIB,MSTO,-45.42477831,0,0
2953,ERLOTINIB,DINACICLIB,NCIH2122,20.25445639,1,1
2963,ERLOTINIB,DINACICLIB,VCAP,32.25620878,1,1
2967,ERLOTINIB,GELDANAMYCIN,A375,36.18756156,1,1
2970,ERLOTINIB,GELDANAMYCIN,HCT116,41.62495754,1,1
2975,ERLOTINIB,GELDANAMYCIN,MSTO,-22.21185453,0,0
2981,ERLOTINIB,GELDANAMYCIN,RPMI7951,-10.72328848,0,0
2982,ERLOTINIB,GELDANAMYCIN,SKMES1,22.27090141,1,1
2986,ERLOTINIB,MK-8669,A2058,52.26171598,1,1
2987,ERLOTINIB,MK-8669,A2780,36.23987344,1,1
2988,ERLOTINIB,MK-8669,A375,56.66491207,1,1
2989,ERLOTINIB,MK-8669,A427,32.50271138,1,1
2990,ERLOTINIB,MK-8669,CAOV3,62.65781411,1,1
2991,ERLOTINIB,MK-8669,ES2,44.9903576,1,1
2993,ERLOTINIB,MK-8669,HT144,36.79371745,1,1
2994,ERLOTINIB,MK-8669,HT29,31.57708029,1,1
2995,ERLOTINIB,MK-8669,KPL1,46.75582861,1,1
2996,ERLOTINIB,MK-8669,LNCAP,28.7507326,1,1
2997,ERLOTINIB,MK-8669,LOVO,47.34442041,1,1
2998,ERLOTINIB,MK-8669,MDAMB436,26.64170048,1,1
2999,ERLOTINIB,MK-8669,MSTO,-137.2614159,0,0
3001,ERLOTINIB,MK-8669,NCIH2122,45.29161162,1,1
3002,ERLOTINIB,MK-8669,NCIH23,40.58409884,1,1
3003,ERLOTINIB,MK-8669,NCIH460,42.49559207,1,1
3004,ERLOTINIB,MK-8669,NCIH520,20.02741966,1,1
3005,ERLOTINIB,MK-8669,OV90,42.80120535,1,1
3006,ERLOTINIB,MK-8669,RKO,38.54313446,1,1
3007,ERLOTINIB,MK-8669,RPMI7951,42.44759178,1,1
3008,ERLOTINIB,MK-8669,SKMEL30,62.09326122,1,1
3009,ERLOTINIB,MK-8669,SKMES1,32.10376803,1,1
3010,ERLOTINIB,MK-8669,SKOV3,60.90617431,1,1
3011,ERLOTINIB,MK-8669,SW620,21.62925184,1,1
3012,ERLOTINIB,MK-8669,SW837,34.68853378,1,1
3013,ERLOTINIB,MK-8669,T47D,54.65479081,1,1
3014,ERLOTINIB,MK-8669,UACC62,60.95019851,1,1
3016,ERLOTINIB,MK-8669,ZR751,71.43896439,1,1
3017,ERLOTINIB,MK-8776,A2058,24.12947014,1,1
3018,ERLOTINIB,MK-8776,A2780,29.21281262,1,1
3019,ERLOTINIB,MK-8776,A375,37.74995952,1,1
3021,ERLOTINIB,MK-8776,CAOV3,40.45472172,1,1
3023,ERLOTINIB,MK-8776,HCT116,24.7554418,1,1
3025,ERLOTINIB,MK-8776,LNCAP,25.76972227,1,1
3026,ERLOTINIB,MK-8776,LOVO,21.94775464,1,1
3031,ERLOTINIB,MK-8776,SKMEL30,24.93792278,1,1
3032,ERLOTINIB,MK-8776,SKOV3,22.04840298,1,1
3034,ERLOTINIB,MK-8776,T47D,-10.08431033,0,0
3035,ERLOTINIB,MK-8776,UACC62,28.02400498,1,1
3036,ERLOTINIB,MK-8776,VCAP,24.72858795,1,1
3038,ERLOTINIB,PD325901,A2780,26.39128639,1,1
3039,ERLOTINIB,PD325901,A375,26.85035826,1,1
3040,ERLOTINIB,PD325901,CAOV3,46.93900496,1,1
3046,ERLOTINIB,PD325901,LOVO,37.16879127,1,1
3047,ERLOTINIB,PD325901,MSTO,-17.33461973,0,0
3049,ERLOTINIB,PD325901,NCIH2122,63.43808914,1,1
3053,ERLOTINIB,PD325901,SKMES1,26.85479765,1,1
3055,ERLOTINIB,PD325901,SW620,-10.3945433,0,0
3056,ERLOTINIB,PD325901,SW837,31.64566875,1,1
3057,ERLOTINIB,PD325901,T47D,-32.78744411,0,0
3059,ERLOTINIB,PD325901,ZR751,32.23841884,1,1
3061,ERLOTINIB,SN-38,A2780,36.95459201,1,1
3062,ERLOTINIB,SN-38,A375,33.42878416,1,1
3063,ERLOTINIB,SN-38,CAOV3,20.80699628,1,1
3065,ERLOTINIB,SN-38,HCT116,35.52871201,1,1
3067,ERLOTINIB,SN-38,HT29,33.40283823,1,1
3068,ERLOTINIB,SN-38,KPL1,20.16679018,1,1
3069,ERLOTINIB,SN-38,LNCAP,-23.06287044,0,0
3071,ERLOTINIB,SN-38,MDAMB436,23.57565008,1,1
3073,ERLOTINIB,SN-38,NCIH2122,41.60026332,1,1
3074,ERLOTINIB,SN-38,NCIH23,53.28600154,1,1
3075,ERLOTINIB,SN-38,NCIH460,67.7815276,1,1
3076,ERLOTINIB,SN-38,OV90,-17.32644536,0,0
3077,ERLOTINIB,SN-38,RKO,23.1858689,1,1
3078,ERLOTINIB,SN-38,RPMI7951,48.39241724,1,1
3080,ERLOTINIB,SN-38,SKMES1,27.93890797,1,1
3081,ERLOTINIB,SN-38,SKOV3,21.17547988,1,1
3083,ERLOTINIB,SN-38,SW837,44.01183222,1,1
3085,ERLOTINIB,SN-38,UACC62,22.40289979,1,1
3086,ERLOTINIB,SN-38,VCAP,42.30916661,1,1
3087,ERLOTINIB,SN-38,ZR751,52.34467525,1,1
3096,ERLOTINIB,SORAFENIB,NCIH1650,25.2103511,1,1
3104,ERLOTINIB,TOPOTECAN,A2058,20.65954665,1,1
3105,ERLOTINIB,TOPOTECAN,A2780,24.97319688,1,1
3106,ERLOTINIB,TOPOTECAN,A375,25.44025942,1,1
3107,ERLOTINIB,TOPOTECAN,A427,26.27349199,1,1
3109,ERLOTINIB,TOPOTECAN,ES2,26.16252976,1,1
3110,ERLOTINIB,TOPOTECAN,HCT116,32.08496121,1,1
3111,ERLOTINIB,TOPOTECAN,HT144,21.41281544,1,1
3112,ERLOTINIB,TOPOTECAN,HT29,22.53932867,1,1
3113,ERLOTINIB,TOPOTECAN,KPL1,27.57395354,1,1
3115,ERLOTINIB,TOPOTECAN,LOVO,32.12638544,1,1
3119,ERLOTINIB,TOPOTECAN,NCIH2122,37.08704855,1,1
3120,ERLOTINIB,TOPOTECAN,NCIH23,29.76010548,1,1
3121,ERLOTINIB,TOPOTECAN,NCIH460,33.09865807,1,1
3122,ERLOTINIB,TOPOTECAN,NCIH520,31.44481537,1,1
3124,ERLOTINIB,TOPOTECAN,RKO,49.30660489,1,1
3126,ERLOTINIB,TOPOTECAN,SKMEL30,33.82957414,1,1
3127,ERLOTINIB,TOPOTECAN,SKMES1,25.71822543,1,1
3129,ERLOTINIB,TOPOTECAN,SW620,23.34923593,1,1
3130,ERLOTINIB,TOPOTECAN,SW837,41.81525129,1,1
3132,ERLOTINIB,TOPOTECAN,UACC62,23.24368022,1,1
3133,ERLOTINIB,TOPOTECAN,VCAP,58.19345418,1,1
3134,ERLOTINIB,TOPOTECAN,ZR751,52.94124794,1,1
3136,ETOPOSIDE,ABT-888,A427,-13.99330443,0,0
3137,ETOPOSIDE,ABT-888,CAOV3,88.90313873,1,1
3138,ETOPOSIDE,ABT-888,ES2,-14.56628388,0,0
3142,ETOPOSIDE,ABT-888,MSTO,26.68015393,1,1
3153,ETOPOSIDE,ABT-888,ZR751,23.68977919,1,1
3158,ETOPOSIDE,AZD1775,CAOV3,37.36484746,1,1
3162,ETOPOSIDE,AZD1775,KPL1,24.46834197,1,1
3163,ETOPOSIDE,AZD1775,LNCAP,21.45110565,1,1
3166,ETOPOSIDE,AZD1775,NCIH1650,34.96332912,1,1
3167,ETOPOSIDE,AZD1775,NCIH23,-147.6170918,0,0
3172,ETOPOSIDE,AZD1775,T47D,-20.69843069,0,0
3173,ETOPOSIDE,AZD1775,UACC62,25.10252076,1,1
3174,ETOPOSIDE,AZD1775,VCAP,20.27995291,1,1
3176,ETOPOSIDE,BEZ-235,A375,31.99711368,1,1
3177,ETOPOSIDE,BEZ-235,CAOV3,85.75614627,1,1
3180,ETOPOSIDE,BEZ-235,HT144,36.34399595,1,1
3182,ETOPOSIDE,BEZ-235,KPL1,24.92334535,1,1
3183,ETOPOSIDE,BEZ-235,LNCAP,93.40478314,1,1
3184,ETOPOSIDE,BEZ-235,MDAMB436,28.39176146,1,1
3185,ETOPOSIDE,BEZ-235,MSTO,20.29258749,1,1
3187,ETOPOSIDE,BEZ-235,NCIH23,-11.80792927,0,0
3188,ETOPOSIDE,BEZ-235,NCIH460,29.59680637,1,1
3192,ETOPOSIDE,BEZ-235,RPMI7951,-13.30798634,0,0
3194,ETOPOSIDE,BEZ-235,SKOV3,-12.54844267,0,0
3196,ETOPOSIDE,BEZ-235,T47D,101.6125542,1,1
3199,ETOPOSIDE,BEZ-235,ZR751,37.20808625,1,1
3203,ETOPOSIDE,BORTEZOMIB,A427,-14.07950269,0,0
3204,ETOPOSIDE,BORTEZOMIB,CAOV3,54.31000908,1,1
3205,ETOPOSIDE,BORTEZOMIB,ES2,-38.16106574,0,0
3207,ETOPOSIDE,BORTEZOMIB,HT29,-16.41332149,0,0
3209,ETOPOSIDE,BORTEZOMIB,MSTO,49.13867719,1,1
3211,ETOPOSIDE,BORTEZOMIB,NCIH2122,-11.99507083,0,0
3212,ETOPOSIDE,BORTEZOMIB,NCIH23,-11.27577628,0,0
3214,ETOPOSIDE,BORTEZOMIB,NCIH520,-33.89563814,0,0
3215,ETOPOSIDE,BORTEZOMIB,OV90,-20.56680342,0,0
3217,ETOPOSIDE,BORTEZOMIB,RPMI7951,-15.77053036,0,0
3219,ETOPOSIDE,BORTEZOMIB,SKMES1,-21.79160617,0,0
3221,ETOPOSIDE,BORTEZOMIB,SW837,-14.57106296,0,0
3222,ETOPOSIDE,BORTEZOMIB,T47D,-19.80398812,0,0
3223,ETOPOSIDE,BORTEZOMIB,UACC62,-17.8222598,0,0
3224,ETOPOSIDE,BORTEZOMIB,VCAP,-10.5712824,0,0
3225,ETOPOSIDE,BORTEZOMIB,ZR751,26.75504326,1,1
3227,ETOPOSIDE,DASATINIB,A2780,66.56695223,1,1
3228,ETOPOSIDE,DASATINIB,A375,33.1108059,1,1
3229,ETOPOSIDE,DASATINIB,A427,29.60077592,1,1
3230,ETOPOSIDE,DASATINIB,CAOV3,58.84842185,1,1
3231,ETOPOSIDE,DASATINIB,ES2,-17.70072655,0,0
3232,ETOPOSIDE,DASATINIB,HT144,-36.23824218,0,0
3233,ETOPOSIDE,DASATINIB,HT29,24.34993899,1,1
3234,ETOPOSIDE,DASATINIB,KPL1,26.27136634,1,1
3235,ETOPOSIDE,DASATINIB,LNCAP,31.32548663,1,1
3236,ETOPOSIDE,DASATINIB,LOVO,60.79997037,1,1
3237,ETOPOSIDE,DASATINIB,MDAMB436,25.68606382,1,1
3238,ETOPOSIDE,DASATINIB,MSTO,85.69462031,1,1
3239,ETOPOSIDE,DASATINIB,NCIH1650,50.30604813,1,1
3240,ETOPOSIDE,DASATINIB,NCIH2122,-55.13805214,0,0
3241,ETOPOSIDE,DASATINIB,NCIH23,-183.3295713,0,0
3242,ETOPOSIDE,DASATINIB,NCIH460,40.12098513,1,1
3243,ETOPOSIDE,DASATINIB,NCIH520,43.69840612,1,1
3244,ETOPOSIDE,DASATINIB,RKO,25.08988503,1,1
3246,ETOPOSIDE,DASATINIB,SKMEL30,-32.47747331,0,0
3248,ETOPOSIDE,DASATINIB,SW620,42.24770688,1,1
3249,ETOPOSIDE,DASATINIB,SW837,40.76213756,1,1
3250,ETOPOSIDE,DASATINIB,T47D,-19.09969407,0,0
3252,ETOPOSIDE,DINACICLIB,A375,-122.7718052,0,0
3254,ETOPOSIDE,DINACICLIB,CAOV3,56.19980681,1,1
3256,ETOPOSIDE,DINACICLIB,HCT116,-12.96661918,0,0
3261,ETOPOSIDE,DINACICLIB,NCIH23,-19.11703449,0,0
3264,ETOPOSIDE,DINACICLIB,OV90,-13.03157185,0,0
3265,ETOPOSIDE,DINACICLIB,RPMI7951,-11.643017,0,0
3266,ETOPOSIDE,DINACICLIB,SKMES1,-14.77517427,0,0
3267,ETOPOSIDE,DINACICLIB,SKOV3,-30.18913558,0,0
3268,ETOPOSIDE,DINACICLIB,SW620,-11.10063669,0,0
3269,ETOPOSIDE,DINACICLIB,SW837,-15.55200919,0,0
3274,ETOPOSIDE,ERLOTINIB,A375,34.50823729,1,1
3275,ETOPOSIDE,ERLOTINIB,CAOV3,92.93746278,1,1
3277,ETOPOSIDE,ERLOTINIB,HCT116,35.1756303,1,1
3278,ETOPOSIDE,ERLOTINIB,HT144,31.44622163,1,1
3279,ETOPOSIDE,ERLOTINIB,HT29,28.78939285,1,1
3280,ETOPOSIDE,ERLOTINIB,KPL1,21.82928608,1,1
3282,ETOPOSIDE,ERLOTINIB,LOVO,42.42601554,1,1
3283,ETOPOSIDE,ERLOTINIB,MDAMB436,30.44386811,1,1
3284,ETOPOSIDE,ERLOTINIB,MSTO,24.38717471,1,1
3286,ETOPOSIDE,ERLOTINIB,NCIH2122,47.47430247,1,1
3287,ETOPOSIDE,ERLOTINIB,NCIH23,-164.2668412,0,0
3288,ETOPOSIDE,ERLOTINIB,NCIH460,46.67308553,1,1
3289,ETOPOSIDE,ERLOTINIB,NCIH520,27.1848439,1,1
3291,ETOPOSIDE,ERLOTINIB,RKO,26.04444652,1,1
3294,ETOPOSIDE,ERLOTINIB,SKMES1,23.310596,1,1
3295,ETOPOSIDE,ERLOTINIB,SKOV3,20.97161438,1,1
3297,ETOPOSIDE,ERLOTINIB,SW837,57.51358379,1,1
3299,ETOPOSIDE,ERLOTINIB,UACC62,41.71895529,1,1
3300,ETOPOSIDE,ERLOTINIB,VCAP,41.85350576,1,1
3301,ETOPOSIDE,ERLOTINIB,ZR751,51.47375496,1,1
3302,ETOPOSIDE,GELDANAMYCIN,A2058,31.06156665,1,1
3304,ETOPOSIDE,GELDANAMYCIN,CAOV3,71.48082401,1,1
3309,ETOPOSIDE,GELDANAMYCIN,LNCAP,47.35424191,1,1
3310,ETOPOSIDE,GELDANAMYCIN,LOVO,-10.67503159,0,0
3311,ETOPOSIDE,GELDANAMYCIN,MDAMB436,23.95624073,1,1
3312,ETOPOSIDE,GELDANAMYCIN,MSTO,-19.47647489,0,0
3315,ETOPOSIDE,GELDANAMYCIN,NCIH23,-14.08747051,0,0
3318,ETOPOSIDE,GELDANAMYCIN,SKMEL30,32.84665347,1,1
3322,ETOPOSIDE,GELDANAMYCIN,T47D,27.24545847,1,1
3324,ETOPOSIDE,LAPATINIB,A2780,27.29088399,1,1
3326,ETOPOSIDE,LAPATINIB,A427,-14.40714784,0,0
3327,ETOPOSIDE,LAPATINIB,CAOV3,143.2917905,1,1
3329,ETOPOSIDE,LAPATINIB,HCT116,27.63842614,1,1
3332,ETOPOSIDE,LAPATINIB,LNCAP,27.81267656,1,1
3333,ETOPOSIDE,LAPATINIB,LOVO,50.4281854,1,1
3334,ETOPOSIDE,LAPATINIB,MDAMB436,20.148526,1,1
3336,ETOPOSIDE,LAPATINIB,NCIH1650,21.63106086,1,1
3337,ETOPOSIDE,LAPATINIB,NCIH2122,31.30947607,1,1
3338,ETOPOSIDE,LAPATINIB,NCIH23,-167.5463503,0,0
3341,ETOPOSIDE,LAPATINIB,OV90,-14.60244237,0,0
3346,ETOPOSIDE,LAPATINIB,SW837,43.76187067,1,1
3349,ETOPOSIDE,LAPATINIB,ZR751,42.94795226,1,1
3350,ETOPOSIDE,MK-2206,A2058,23.8414603,1,1
3351,ETOPOSIDE,MK-2206,A2780,25.09455866,1,1
3352,ETOPOSIDE,MK-2206,A375,40.3600574,1,1
3353,ETOPOSIDE,MK-2206,A427,24.8922984,1,1
3354,ETOPOSIDE,MK-2206,CAOV3,159.9074884,1,1
3356,ETOPOSIDE,MK-2206,HCT116,41.47821659,1,1
3357,ETOPOSIDE,MK-2206,HT144,47.84405312,1,1
3358,ETOPOSIDE,MK-2206,HT29,20.80452543,1,1
3359,ETOPOSIDE,MK-2206,KPL1,60.24310124,1,1
3360,ETOPOSIDE,MK-2206,LNCAP,28.94828404,1,1
3361,ETOPOSIDE,MK-2206,LOVO,36.55388298,1,1
3362,ETOPOSIDE,MK-2206,MDAMB436,34.50086052,1,1
3363,ETOPOSIDE,MK-2206,MSTO,46.61376899,1,1
3364,ETOPOSIDE,MK-2206,NCIH1650,35.02054763,1,1
3365,ETOPOSIDE,MK-2206,NCIH2122,43.0982675,1,1
3366,ETOPOSIDE,MK-2206,NCIH23,-168.9394512,0,0
3367,ETOPOSIDE,MK-2206,NCIH460,46.56657824,1,1
3369,ETOPOSIDE,MK-2206,OV90,35.08106665,1,1
3370,ETOPOSIDE,MK-2206,RKO,49.94340541,1,1
3372,ETOPOSIDE,MK-2206,SKMEL30,33.04954641,1,1
3373,ETOPOSIDE,MK-2206,SKMES1,44.45871774,1,1
3375,ETOPOSIDE,MK-2206,SW837,41.49633741,1,1
3376,ETOPOSIDE,MK-2206,UACC62,42.952925,1,1
3377,ETOPOSIDE,MK-2206,VCAP,33.39039432,1,1
3378,ETOPOSIDE,MK-2206,ZR751,20.59921408,1,1
3381,ETOPOSIDE,MK-4827,CAOV3,80.47079268,1,1
3386,ETOPOSIDE,MK-4827,LNCAP,-21.59027419,0,0
3389,ETOPOSIDE,MK-4827,NCIH1650,26.22483109,1,1
3391,ETOPOSIDE,MK-4827,NCIH23,-148.8888175,0,0
3393,ETOPOSIDE,MK-4827,NCIH520,24.07225252,1,1
3395,ETOPOSIDE,MK-4827,SKOV3,21.90598342,1,1
3397,ETOPOSIDE,MK-4827,T47D,-30.71348163,0,0
3398,ETOPOSIDE,MK-4827,VCAP,22.09555743,1,1
3403,ETOPOSIDE,MK-5108,CAOV3,70.49294954,1,1
3406,ETOPOSIDE,MK-5108,HT29,22.04488376,1,1
3407,ETOPOSIDE,MK-5108,LNCAP,-12.66025633,0,0
3409,ETOPOSIDE,MK-5108,MSTO,27.5905608,1,1
3413,ETOPOSIDE,MK-5108,NCIH460,-12.89621832,0,0
3414,ETOPOSIDE,MK-5108,NCIH520,-11.51128765,0,0
3415,ETOPOSIDE,MK-5108,OV90,21.11551933,1,1
3416,ETOPOSIDE,MK-5108,RKO,29.56165952,1,1
3420,ETOPOSIDE,MK-5108,SW620,20.04486147,1,1
3423,ETOPOSIDE,MK-5108,VCAP,-10.31394043,0,0
3424,ETOPOSIDE,MK-5108,ZR751,-13.80178169,0,0
3426,ETOPOSIDE,MK-8669,A2780,22.65392265,1,1
3427,ETOPOSIDE,MK-8669,A375,30.71559892,1,1
3428,ETOPOSIDE,MK-8669,CAOV3,118.6852801,1,1
3429,ETOPOSIDE,MK-8669,HT144,41.58992657,1,1
3431,ETOPOSIDE,MK-8669,KPL1,47.41302637,1,1
3432,ETOPOSIDE,MK-8669,LNCAP,34.45017819,1,1
3434,ETOPOSIDE,MK-8669,MDAMB436,32.37389935,1,1
3435,ETOPOSIDE,MK-8669,MSTO,41.59139974,1,1
3436,ETOPOSIDE,MK-8669,NCIH1650,35.97509228,1,1
3438,ETOPOSIDE,MK-8669,NCIH23,-146.9487222,0,0
3440,ETOPOSIDE,MK-8669,RKO,34.5234873,1,1
3441,ETOPOSIDE,MK-8669,SKMEL30,28.66295459,1,1
3444,ETOPOSIDE,MK-8669,SW837,33.80011003,1,1
3446,ETOPOSIDE,MK-8669,UACC62,34.55875316,1,1
3447,ETOPOSIDE,MK-8669,VCAP,30.50590257,1,1
3448,ETOPOSIDE,MK-8776,A2058,57.67901606,1,1
3449,ETOPOSIDE,MK-8776,A2780,21.34548508,1,1
3450,ETOPOSIDE,MK-8776,A375,-65.08015716,0,0
3451,ETOPOSIDE,MK-8776,CAOV3,65.09984723,1,1
3453,ETOPOSIDE,MK-8776,HT144,26.87486066,1,1
3454,ETOPOSIDE,MK-8776,HT29,22.77599038,1,1
3458,ETOPOSIDE,MK-8776,MDAMB436,25.41312428,1,1
3459,ETOPOSIDE,MK-8776,NCIH1650,25.17189985,1,1
