,drug1,drug2,cell,synergy,fold,SynClass
5546,DOXORUBICIN,L778123,ES2,-10.67573422,0,0
5554,DOXORUBICIN,L778123,MSTO,-33.3885015,0,0
5555,DOXORUBICIN,L778123,NCIH1650,-16.1820269,0,0
5561,DOXORUBICIN,L778123,OV90,-12.9239441,0,0
5562,DOXORUBICIN,L778123,OVCAR3,-33.65088895,0,0
5563,DOXORUBICIN,L778123,PA1,-10.42198965,0,0
5566,DOXORUBICIN,L778123,SKMEL30,-18.0519715,0,0
5567,DOXORUBICIN,L778123,SKMES1,-12.61471488,0,0
5568,DOXORUBICIN,L778123,SKOV3,-28.31929693,0,0
5570,DOXORUBICIN,L778123,SW837,-17.84420182,0,0
5591,DOXORUBICIN,LAPATINIB,LOVO,27.36484932,0,1
5598,DOXORUBICIN,LAPATINIB,NCIH520,-18.33191573,0,0
5600,DOXORUBICIN,LAPATINIB,OV90,-19.34729439,0,0
5609,DOXORUBICIN,LAPATINIB,SW837,35.1944599,0,1
5610,DOXORUBICIN,LAPATINIB,T47D,42.3755568,0,1
5615,DOXORUBICIN,LAPATINIB,ZR751,20.61489083,0,1
5618,DOXORUBICIN,MK-2206,A375,22.14258923,1,1
5620,DOXORUBICIN,MK-2206,CAOV3,23.55710399,1,1
5626,DOXORUBICIN,MK-2206,HT144,27.55803273,1,1
5627,DOXORUBICIN,MK-2206,HT29,24.334338,1,1
5628,DOXORUBICIN,MK-2206,KPL1,29.00547602,1,1
5629,DOXORUBICIN,MK-2206,LNCAP,21.60217673,1,1
5630,DOXORUBICIN,MK-2206,LOVO,22.72333325,1,1
5633,DOXORUBICIN,MK-2206,NCIH1650,26.88657696,1,1
5636,DOXORUBICIN,MK-2206,NCIH460,34.74622446,1,1
5642,DOXORUBICIN,MK-2206,RKO,21.87779765,1,1
5645,DOXORUBICIN,MK-2206,SKMES1,25.29848232,1,1
5648,DOXORUBICIN,MK-2206,SW837,23.6053657,1,1
5649,DOXORUBICIN,MK-2206,T47D,35.67707513,1,1
5650,DOXORUBICIN,MK-2206,UACC62,23.35116755,1,1
5652,DOXORUBICIN,MK-2206,UWB1289BRCA1,20.61771192,1,1
5653,DOXORUBICIN,MK-2206,VCAP,26.36028697,1,1
5655,DOXORUBICIN,MK-4827,A2058,-12.54308836,3,0
5661,DOXORUBICIN,MK-4827,DLD1,-11.73081119,3,0
5663,DOXORUBICIN,MK-4827,ES2,-14.29408631,3,0
5664,DOXORUBICIN,MK-4827,HCT116,-12.83102695,3,0
5678,DOXORUBICIN,MK-4827,OV90,-27.38243703,3,0
5679,DOXORUBICIN,MK-4827,OVCAR3,-24.26301921,3,0
5680,DOXORUBICIN,MK-4827,PA1,-13.65337261,3,0
5685,DOXORUBICIN,MK-4827,SKOV3,-17.73927653,3,0
5687,DOXORUBICIN,MK-4827,SW837,-21.08137786,3,0
5688,DOXORUBICIN,MK-4827,T47D,21.05152592,3,1
5697,DOXORUBICIN,MK-5108,A427,-18.570381,3,0
5699,DOXORUBICIN,MK-5108,COLO320DM,-15.07155436,3,0
5701,DOXORUBICIN,MK-5108,EFM192B,-12.48880733,3,0
5704,DOXORUBICIN,MK-5108,HT144,-11.66929395,3,0
5706,DOXORUBICIN,MK-5108,KPL1,-10.05356729,3,0
5707,DOXORUBICIN,MK-5108,LNCAP,-17.37521122,3,0
5708,DOXORUBICIN,MK-5108,LOVO,-11.25304566,3,0
5712,DOXORUBICIN,MK-5108,NCIH2122,-18.33430727,3,0
5714,DOXORUBICIN,MK-5108,NCIH460,-12.25201478,3,0
5715,DOXORUBICIN,MK-5108,NCIH520,-21.05570493,3,0
5718,DOXORUBICIN,MK-5108,OVCAR3,-17.2476586,3,0
5723,DOXORUBICIN,MK-5108,SKMES1,-24.07595167,3,0
5724,DOXORUBICIN,MK-5108,SKOV3,-17.5550089,3,0
5728,DOXORUBICIN,MK-5108,UACC62,-12.96697781,3,0
5730,DOXORUBICIN,MK-5108,UWB1289BRCA1,-11.72390651,3,0
5732,DOXORUBICIN,MK-5108,ZR751,-10.85528899,3,0
5733,DOXORUBICIN,MK-8669,A2058,-10.49023254,3,0
5743,DOXORUBICIN,MK-8669,HT144,30.46098996,3,1
5744,DOXORUBICIN,MK-8669,HT29,22.99768644,3,1
5745,DOXORUBICIN,MK-8669,KPL1,29.96509813,3,1
5746,DOXORUBICIN,MK-8669,LNCAP,32.08194968,3,1
5750,DOXORUBICIN,MK-8669,NCIH1650,41.18662302,3,1
5761,DOXORUBICIN,MK-8669,SKMEL30,21.17126116,3,1
5763,DOXORUBICIN,MK-8669,SKOV3,32.25572773,3,1
5766,DOXORUBICIN,MK-8669,T47D,37.87194371,3,1
5769,DOXORUBICIN,MK-8669,UWB1289BRCA1,26.65406513,3,1
5770,DOXORUBICIN,MK-8669,VCAP,26.28132634,3,1
5771,DOXORUBICIN,MK-8669,ZR751,20.06848199,3,1
5774,DOXORUBICIN,MK-8776,A375,25.26990432,4,1
5777,DOXORUBICIN,MK-8776,COLO320DM,20.71238376,4,1
5780,DOXORUBICIN,MK-8776,ES2,22.03868685,4,1
5782,DOXORUBICIN,MK-8776,HT144,20.61004647,4,1
5783,DOXORUBICIN,MK-8776,HT29,36.72789817,4,1
5789,DOXORUBICIN,MK-8776,NCIH1650,24.5143169,4,1
5790,DOXORUBICIN,MK-8776,NCIH2122,-12.51493838,4,0
5793,DOXORUBICIN,MK-8776,NCIH520,24.53717622,4,1
5796,DOXORUBICIN,MK-8776,OVCAR3,52.03572177,4,1
5797,DOXORUBICIN,MK-8776,PA1,-14.68972152,4,0
5800,DOXORUBICIN,MK-8776,SKMEL30,37.95548534,4,1
5801,DOXORUBICIN,MK-8776,SKMES1,-15.15977039,4,0
5809,DOXORUBICIN,MK-8776,VCAP,23.08072424,4,1
5827,DOXORUBICIN,PD325901,MSTO,-24.77537839,1,0
5831,DOXORUBICIN,PD325901,NCIH460,28.33583948,1,1
5832,DOXORUBICIN,PD325901,NCIH520,-27.66661757,1,0
5835,DOXORUBICIN,PD325901,OVCAR3,-11.38678255,1,0
5836,DOXORUBICIN,PD325901,PA1,-12.47613222,1,0
5839,DOXORUBICIN,PD325901,SKMEL30,-24.51115165,1,0
5852,DOXORUBICIN,SORAFENIB,A375,-46.04624136,1,0
5854,DOXORUBICIN,SORAFENIB,CAOV3,-11.89438771,1,0
5855,DOXORUBICIN,SORAFENIB,COLO320DM,-14.18531713,1,0
5857,DOXORUBICIN,SORAFENIB,EFM192B,-23.57420414,1,0
5858,DOXORUBICIN,SORAFENIB,ES2,-11.95953971,1,0
5859,DOXORUBICIN,SORAFENIB,HCT116,-12.93846288,1,0
5861,DOXORUBICIN,SORAFENIB,HT29,-13.3605129,1,0
5863,DOXORUBICIN,SORAFENIB,LNCAP,-10.73493807,1,0
5864,DOXORUBICIN,SORAFENIB,LOVO,-15.29786353,1,0
5865,DOXORUBICIN,SORAFENIB,MDAMB436,-16.18892584,1,0
5867,DOXORUBICIN,SORAFENIB,NCIH1650,-22.85367654,1,0
5868,DOXORUBICIN,SORAFENIB,NCIH2122,-12.79070237,1,0
5869,DOXORUBICIN,SORAFENIB,NCIH23,-13.26867902,1,0
5873,DOXORUBICIN,SORAFENIB,OV90,-14.13044098,1,0
5874,DOXORUBICIN,SORAFENIB,OVCAR3,-39.00145769,1,0
5876,DOXORUBICIN,SORAFENIB,RKO,-12.0189401,1,0
5877,DOXORUBICIN,SORAFENIB,RPMI7951,-16.13219697,1,0
5879,DOXORUBICIN,SORAFENIB,SKMES1,-19.00794257,1,0
5880,DOXORUBICIN,SORAFENIB,SKOV3,-22.50246654,1,0
5882,DOXORUBICIN,SORAFENIB,SW837,-17.63687925,1,0
5887,DOXORUBICIN,SORAFENIB,VCAP,-17.31329588,1,0
5888,DOXORUBICIN,SORAFENIB,ZR751,-18.74222054,1,0
5891,DOXORUBICIN,SUNITINIB,A375,-31.96588485,4,0
5896,DOXORUBICIN,SUNITINIB,EFM192B,-15.78295255,4,0
5902,DOXORUBICIN,SUNITINIB,LNCAP,-23.84764824,4,0
5905,DOXORUBICIN,SUNITINIB,MSTO,-14.56283254,4,0
5908,DOXORUBICIN,SUNITINIB,NCIH23,-15.54788956,4,0
5910,DOXORUBICIN,SUNITINIB,NCIH520,-10.66924847,4,0
5912,DOXORUBICIN,SUNITINIB,OV90,-12.69968245,4,0
5916,DOXORUBICIN,SUNITINIB,RPMI7951,-12.95040498,4,0
5918,DOXORUBICIN,SUNITINIB,SKMES1,-16.63118696,4,0
5919,DOXORUBICIN,SUNITINIB,SKOV3,-14.38319177,4,0
5922,DOXORUBICIN,SUNITINIB,T47D,-12.09784645,4,0
5940,DOXORUBICIN,TEMOZOLOMIDE,KPL1,-17.7321459,2,0
5943,DOXORUBICIN,TEMOZOLOMIDE,MDAMB436,-12.98371133,2,0
5946,DOXORUBICIN,TEMOZOLOMIDE,NCIH2122,-11.3086724,2,0
5953,DOXORUBICIN,TEMOZOLOMIDE,PA1,-12.45608267,2,0
5960,DOXORUBICIN,TEMOZOLOMIDE,SW837,-13.32181269,2,0
5962,DOXORUBICIN,TEMOZOLOMIDE,UACC62,-18.9433129,2,0
5966,DOXORUBICIN,TEMOZOLOMIDE,ZR751,-13.27729077,2,0
5970,DOXORUBICIN,ZOLINZA,A427,-11.11280124,0,0
5978,DOXORUBICIN,ZOLINZA,HT29,24.56828323,0,1
5980,DOXORUBICIN,ZOLINZA,LNCAP,25.43427623,0,1
5997,DOXORUBICIN,ZOLINZA,SKOV3,22.25581931,0,1
6000,DOXORUBICIN,ZOLINZA,T47D,22.84665169,0,1
6002,DOXORUBICIN,ZOLINZA,UWB1289,23.30745483,0,1
6003,DOXORUBICIN,ZOLINZA,UWB1289BRCA1,20.00427139,0,1
6014,ERLOTINIB,ABT-888,ES2,-12.43349741,4,0
6017,ERLOTINIB,ABT-888,HT29,-11.26311941,4,0
6019,ERLOTINIB,ABT-888,LNCAP,-23.8823541,4,0
6022,ERLOTINIB,ABT-888,MSTO,52.03256407,4,1
6029,ERLOTINIB,ABT-888,OV90,-13.32020911,4,0
6037,ERLOTINIB,ABT-888,SW620,-11.64468066,4,0
6039,ERLOTINIB,ABT-888,T47D,-14.15331149,4,0
6043,ERLOTINIB,ABT-888,VCAP,-17.27573982,4,0
6045,ERLOTINIB,BEZ-235,A2058,30.44723473,0,1
6046,ERLOTINIB,BEZ-235,A2780,32.9904113,0,1
6047,ERLOTINIB,BEZ-235,A375,32.79138222,0,1
6048,ERLOTINIB,BEZ-235,A427,24.82046387,0,1
6049,ERLOTINIB,BEZ-235,CAOV3,53.23611483,0,1
6050,ERLOTINIB,BEZ-235,COLO320DM,23.85059687,0,1
6051,ERLOTINIB,BEZ-235,DLD1,41.94861745,0,1
6052,ERLOTINIB,BEZ-235,EFM192B,36.28988368,0,1
6054,ERLOTINIB,BEZ-235,HCT116,40.74023865,0,1
6056,ERLOTINIB,BEZ-235,HT29,37.24732576,0,1
6057,ERLOTINIB,BEZ-235,KPL1,31.23105824,0,1
6058,ERLOTINIB,BEZ-235,LNCAP,85.15352215,0,1
6059,ERLOTINIB,BEZ-235,LOVO,38.90157501,0,1
6060,ERLOTINIB,BEZ-235,MDAMB436,34.3614618,0,1
6061,ERLOTINIB,BEZ-235,MSTO,40.76447271,0,1
6062,ERLOTINIB,BEZ-235,NCIH1650,26.76837282,0,1
6063,ERLOTINIB,BEZ-235,NCIH2122,53.94195019,0,1
6064,ERLOTINIB,BEZ-235,NCIH23,30.39517847,0,1
6065,ERLOTINIB,BEZ-235,NCIH460,34.65177323,0,1
6066,ERLOTINIB,BEZ-235,NCIH520,36.29686721,0,1
6067,ERLOTINIB,BEZ-235,OCUBM,28.33328867,0,1
6068,ERLOTINIB,BEZ-235,OV90,23.65798387,0,1
6069,ERLOTINIB,BEZ-235,OVCAR3,41.44320365,0,1
6070,ERLOTINIB,BEZ-235,PA1,28.77665393,0,1
6072,ERLOTINIB,BEZ-235,RPMI7951,33.10748025,0,1
6073,ERLOTINIB,BEZ-235,SKMEL30,40.3172508,0,1
6074,ERLOTINIB,BEZ-235,SKMES1,40.10436985,0,1
6075,ERLOTINIB,BEZ-235,SKOV3,33.22300939,0,1
6077,ERLOTINIB,BEZ-235,SW837,48.23512601,0,1
6078,ERLOTINIB,BEZ-235,T47D,141.790374,0,1
6079,ERLOTINIB,BEZ-235,UACC62,21.03592517,0,1
6080,ERLOTINIB,BEZ-235,UWB1289,40.58463507,0,1
6081,ERLOTINIB,BEZ-235,UWB1289BRCA1,41.01457813,0,1
6082,ERLOTINIB,BEZ-235,VCAP,29.05193526,0,1
6083,ERLOTINIB,BEZ-235,ZR751,52.1263634,0,1
6085,ERLOTINIB,BORTEZOMIB,A2780,-23.08608321,0,0
6086,ERLOTINIB,BORTEZOMIB,A375,25.53971155,0,1
6087,ERLOTINIB,BORTEZOMIB,A427,-15.65410165,0,0
6088,ERLOTINIB,BORTEZOMIB,CAOV3,-18.43407369,0,0
6089,ERLOTINIB,BORTEZOMIB,COLO320DM,-19.42850827,0,0
6092,ERLOTINIB,BORTEZOMIB,ES2,-22.64897131,0,0
6094,ERLOTINIB,BORTEZOMIB,HT144,-16.19947167,0,0
6095,ERLOTINIB,BORTEZOMIB,HT29,-14.92795583,0,0
6097,ERLOTINIB,BORTEZOMIB,LNCAP,-17.80210878,0,0
6100,ERLOTINIB,BORTEZOMIB,MSTO,29.00394489,0,1
6101,ERLOTINIB,BORTEZOMIB,NCIH1650,-14.2940195,0,0
6105,ERLOTINIB,BORTEZOMIB,NCIH520,-23.84255611,0,0
6107,ERLOTINIB,BORTEZOMIB,OV90,-10.51068817,0,0
6108,ERLOTINIB,BORTEZOMIB,OVCAR3,-15.0662119,0,0
6111,ERLOTINIB,BORTEZOMIB,RPMI7951,-16.84735374,0,0
6113,ERLOTINIB,BORTEZOMIB,SKMES1,-11.42040437,0,0
6116,ERLOTINIB,BORTEZOMIB,SW837,29.48258491,0,1
6117,ERLOTINIB,BORTEZOMIB,T47D,-42.70233051,0,0
6118,ERLOTINIB,BORTEZOMIB,UACC62,-20.68908184,0,0
6119,ERLOTINIB,BORTEZOMIB,UWB1289,-20.09891095,0,0
6123,ERLOTINIB,DASATINIB,A2058,50.85612673,3,1
6124,ERLOTINIB,DASATINIB,A2780,55.7433202,3,1
6126,ERLOTINIB,DASATINIB,A427,67.02852359,3,1
6127,ERLOTINIB,DASATINIB,CAOV3,35.76292632,3,1
6129,ERLOTINIB,DASATINIB,DLD1,68.43284741,3,1
6130,ERLOTINIB,DASATINIB,EFM192B,52.37427854,3,1
6133,ERLOTINIB,DASATINIB,HT144,-44.27131648,3,0
6134,ERLOTINIB,DASATINIB,HT29,26.65382131,3,1
6136,ERLOTINIB,DASATINIB,LNCAP,30.85505426,3,1
6137,ERLOTINIB,DASATINIB,LOVO,39.95268983,3,1
6138,ERLOTINIB,DASATINIB,MDAMB436,20.86509131,3,1
6139,ERLOTINIB,DASATINIB,MSTO,-112.7046695,3,0
6140,ERLOTINIB,DASATINIB,NCIH1650,61.58695742,3,1
6142,ERLOTINIB,DASATINIB,NCIH23,21.80651781,3,1
6144,ERLOTINIB,DASATINIB,NCIH520,48.936706,3,1
6147,ERLOTINIB,DASATINIB,OVCAR3,100.767868,3,1
6148,ERLOTINIB,DASATINIB,PA1,26.42060573,3,1
6150,ERLOTINIB,DASATINIB,RPMI7951,20.22782323,3,1
6151,ERLOTINIB,DASATINIB,SKMEL30,-20.14259668,3,0
6152,ERLOTINIB,DASATINIB,SKMES1,55.34476194,3,1
6153,ERLOTINIB,DASATINIB,SKOV3,34.88545929,3,1
6154,ERLOTINIB,DASATINIB,SW620,31.19986694,3,1
6155,ERLOTINIB,DASATINIB,SW837,55.38902039,3,1
6157,ERLOTINIB,DASATINIB,UACC62,30.71440017,3,1
6158,ERLOTINIB,DASATINIB,UWB1289,43.18599864,3,1
6159,ERLOTINIB,DASATINIB,UWB1289BRCA1,49.46793269,3,1
6161,ERLOTINIB,DASATINIB,ZR751,-53.72833547,3,0
6167,ERLOTINIB,DINACICLIB,COLO320DM,43.51603934,0,1
6168,ERLOTINIB,DINACICLIB,DLD1,25.7207845,0,1
6175,ERLOTINIB,DINACICLIB,LNCAP,25.47660754,0,1
6178,ERLOTINIB,DINACICLIB,MSTO,-45.42477831,0,0
6180,ERLOTINIB,DINACICLIB,NCIH2122,20.25445639,0,1
6184,ERLOTINIB,DINACICLIB,OCUBM,-16.85915516,0,0
6199,ERLOTINIB,DINACICLIB,VCAP,32.25620878,0,1
6203,ERLOTINIB,GELDANAMYCIN,A375,36.18756156,4,1
6207,ERLOTINIB,GELDANAMYCIN,DLD1,31.67965199,4,1
6210,ERLOTINIB,GELDANAMYCIN,HCT116,41.62495754,4,1
6217,ERLOTINIB,GELDANAMYCIN,MSTO,-22.21185453,4,0
6223,ERLOTINIB,GELDANAMYCIN,OCUBM,-12.9753621,4,0
6225,ERLOTINIB,GELDANAMYCIN,OVCAR3,-34.65717496,4,0
6228,ERLOTINIB,GELDANAMYCIN,RPMI7951,-10.72328848,4,0
6230,ERLOTINIB,GELDANAMYCIN,SKMES1,22.27090141,4,1
6236,ERLOTINIB,GELDANAMYCIN,UWB1289,-22.88384516,4,0
6237,ERLOTINIB,GELDANAMYCIN,UWB1289BRCA1,-22.83848169,4,0
6240,ERLOTINIB,MK-8669,A2058,52.26171598,4,1
6241,ERLOTINIB,MK-8669,A2780,36.23987344,4,1
6242,ERLOTINIB,MK-8669,A375,56.66491207,4,1
6243,ERLOTINIB,MK-8669,A427,32.50271138,4,1
6244,ERLOTINIB,MK-8669,CAOV3,62.65781411,4,1
6246,ERLOTINIB,MK-8669,DLD1,44.79209385,4,1
6247,ERLOTINIB,MK-8669,EFM192B,65.95898663,4,1
6248,ERLOTINIB,MK-8669,ES2,44.9903576,4,1
6250,ERLOTINIB,MK-8669,HT144,36.79371745,4,1
6251,ERLOTINIB,MK-8669,HT29,31.57708029,4,1
6252,ERLOTINIB,MK-8669,KPL1,46.75582861,4,1
6253,ERLOTINIB,MK-8669,LNCAP,28.7507326,4,1
6254,ERLOTINIB,MK-8669,LOVO,47.34442041,4,1
6255,ERLOTINIB,MK-8669,MDAMB436,26.64170048,4,1
6256,ERLOTINIB,MK-8669,MSTO,-137.2614159,4,0
6258,ERLOTINIB,MK-8669,NCIH2122,45.29161162,4,1
6259,ERLOTINIB,MK-8669,NCIH23,40.58409884,4,1
6260,ERLOTINIB,MK-8669,NCIH460,42.49559207,4,1
6261,ERLOTINIB,MK-8669,NCIH520,20.02741966,4,1
6262,ERLOTINIB,MK-8669,OCUBM,48.47002622,4,1
6263,ERLOTINIB,MK-8669,OV90,42.80120535,4,1
6264,ERLOTINIB,MK-8669,OVCAR3,37.04348424,4,1
6265,ERLOTINIB,MK-8669,PA1,52.51412182,4,1
6266,ERLOTINIB,MK-8669,RKO,38.54313446,4,1
6267,ERLOTINIB,MK-8669,RPMI7951,42.44759178,4,1
6268,ERLOTINIB,MK-8669,SKMEL30,62.09326122,4,1
6269,ERLOTINIB,MK-8669,SKMES1,32.10376803,4,1
6270,ERLOTINIB,MK-8669,SKOV3,60.90617431,4,1
6271,ERLOTINIB,MK-8669,SW620,21.62925184,4,1
6272,ERLOTINIB,MK-8669,SW837,34.68853378,4,1
6273,ERLOTINIB,MK-8669,T47D,54.65479081,4,1
6274,ERLOTINIB,MK-8669,UACC62,60.95019851,4,1
6275,ERLOTINIB,MK-8669,UWB1289,40.66982585,4,1
6276,ERLOTINIB,MK-8669,UWB1289BRCA1,40.57509394,4,1
6278,ERLOTINIB,MK-8669,ZR751,71.43896439,4,1
6279,ERLOTINIB,MK-8776,A2058,24.12947014,2,1
6280,ERLOTINIB,MK-8776,A2780,29.21281262,2,1
6281,ERLOTINIB,MK-8776,A375,37.74995952,2,1
6283,ERLOTINIB,MK-8776,CAOV3,40.45472172,2,1
6288,ERLOTINIB,MK-8776,HCT116,24.7554418,2,1
6292,ERLOTINIB,MK-8776,LNCAP,25.76972227,2,1
6293,ERLOTINIB,MK-8776,LOVO,21.94775464,2,1
6303,ERLOTINIB,MK-8776,OVCAR3,20.53443477,2,1
6307,ERLOTINIB,MK-8776,SKMEL30,24.93792278,2,1
6309,ERLOTINIB,MK-8776,SKOV3,22.04840298,2,1
6312,ERLOTINIB,MK-8776,T47D,-10.08431033,2,0
6313,ERLOTINIB,MK-8776,UACC62,28.02400498,2,1
6314,ERLOTINIB,MK-8776,UWB1289,-16.57226109,2,0
6315,ERLOTINIB,MK-8776,UWB1289BRCA1,-25.67572603,2,0
6316,ERLOTINIB,MK-8776,VCAP,24.72858795,2,1
6318,ERLOTINIB,OXALIPLATIN,A2058,-14.44814605,1,0
6319,ERLOTINIB,OXALIPLATIN,A2780,-41.24503228,1,0
6321,ERLOTINIB,OXALIPLATIN,A427,-20.69166135,1,0
6322,ERLOTINIB,OXALIPLATIN,CAOV3,-19.3377721,1,0
6323,ERLOTINIB,OXALIPLATIN,COLO320DM,-15.41204948,1,0
6324,ERLOTINIB,OXALIPLATIN,DLD1,-10.52325405,1,0
6325,ERLOTINIB,OXALIPLATIN,EFM192B,-28.17197926,1,0
6326,ERLOTINIB,OXALIPLATIN,ES2,-24.54218878,1,0
6327,ERLOTINIB,OXALIPLATIN,HCT116,-19.58979645,1,0
6328,ERLOTINIB,OXALIPLATIN,HT144,-24.48137144,1,0
6329,ERLOTINIB,OXALIPLATIN,HT29,-20.05594529,1,0
6331,ERLOTINIB,OXALIPLATIN,LNCAP,-10.98615564,1,0
6333,ERLOTINIB,OXALIPLATIN,MDAMB436,-23.05639303,1,0
6336,ERLOTINIB,OXALIPLATIN,NCIH2122,-11.66336863,1,0
6337,ERLOTINIB,OXALIPLATIN,NCIH23,-27.97151102,1,0
6338,ERLOTINIB,OXALIPLATIN,NCIH460,-45.68658386,1,0
6339,ERLOTINIB,OXALIPLATIN,NCIH520,-14.84679947,1,0
6341,ERLOTINIB,OXALIPLATIN,OV90,-31.19833126,1,0
6343,ERLOTINIB,OXALIPLATIN,PA1,-57.24112604,1,0
6345,ERLOTINIB,OXALIPLATIN,RPMI7951,-44.63831953,1,0
6346,ERLOTINIB,OXALIPLATIN,SKMEL30,-10.22493429,1,0
6349,ERLOTINIB,OXALIPLATIN,SW620,-33.75034384,1,0
6352,ERLOTINIB,OXALIPLATIN,UACC62,-17.15687451,1,0
6358,ERLOTINIB,PD325901,A2780,26.39128639,2,1
6359,ERLOTINIB,PD325901,A375,26.85035826,2,1
6361,ERLOTINIB,PD325901,CAOV3,46.93900496,2,1
6363,ERLOTINIB,PD325901,DLD1,39.517205,2,1
6371,ERLOTINIB,PD325901,LOVO,37.16879127,2,1
6373,ERLOTINIB,PD325901,MSTO,-17.33461973,2,0
6375,ERLOTINIB,PD325901,NCIH2122,63.43808914,2,1
6381,ERLOTINIB,PD325901,OVCAR3,23.44550288,2,1
6386,ERLOTINIB,PD325901,SKMES1,26.85479765,2,1
6388,ERLOTINIB,PD325901,SW620,-10.3945433,2,0
6389,ERLOTINIB,PD325901,SW837,31.64566875,2,1
6390,ERLOTINIB,PD325901,T47D,-32.78744411,2,0
6392,ERLOTINIB,PD325901,UWB1289,25.17464734,2,1
6393,ERLOTINIB,PD325901,UWB1289BRCA1,26.36941199,2,1
6395,ERLOTINIB,PD325901,ZR751,32.23841884,2,1
6397,ERLOTINIB,SN-38,A2780,36.95459201,2,1
6398,ERLOTINIB,SN-38,A375,33.42878416,2,1
6400,ERLOTINIB,SN-38,CAOV3,20.80699628,2,1
6402,ERLOTINIB,SN-38,DLD1,24.11482236,2,1
6403,ERLOTINIB,SN-38,EFM192B,28.88500204,2,1
6405,ERLOTINIB,SN-38,HCT116,35.52871201,2,1
6407,ERLOTINIB,SN-38,HT29,33.40283823,2,1
6408,ERLOTINIB,SN-38,KPL1,20.16679018,2,1
6409,ERLOTINIB,SN-38,LNCAP,-23.06287044,2,0
6411,ERLOTINIB,SN-38,MDAMB436,23.57565008,2,1
6414,ERLOTINIB,SN-38,NCIH2122,41.60026332,2,1
6415,ERLOTINIB,SN-38,NCIH23,53.28600154,2,1
6416,ERLOTINIB,SN-38,NCIH460,67.7815276,2,1
6419,ERLOTINIB,SN-38,OV90,-17.32644536,2,0
6420,ERLOTINIB,SN-38,OVCAR3,28.00473745,2,1
6421,ERLOTINIB,SN-38,PA1,30.90677525,2,1
6422,ERLOTINIB,SN-38,RKO,23.1858689,2,1
6423,ERLOTINIB,SN-38,RPMI7951,48.39241724,2,1
6425,ERLOTINIB,SN-38,SKMES1,27.93890797,2,1
6426,ERLOTINIB,SN-38,SKOV3,21.17547988,2,1
6428,ERLOTINIB,SN-38,SW837,44.01183222,2,1
6430,ERLOTINIB,SN-38,UACC62,22.40289979,2,1
6432,ERLOTINIB,SN-38,UWB1289BRCA1,21.49563062,2,1
6433,ERLOTINIB,SN-38,VCAP,42.30916661,2,1
6434,ERLOTINIB,SN-38,ZR751,52.34467525,2,1
6452,ERLOTINIB,SORAFENIB,NCIH1650,25.2103511,1,1
6459,ERLOTINIB,SORAFENIB,OVCAR3,-18.11266802,1,0
6474,ERLOTINIB,TOPOTECAN,A2058,20.65954665,3,1
6475,ERLOTINIB,TOPOTECAN,A2780,24.97319688,3,1
6476,ERLOTINIB,TOPOTECAN,A375,25.44025942,3,1
6477,ERLOTINIB,TOPOTECAN,A427,26.27349199,3,1
6481,ERLOTINIB,TOPOTECAN,EFM192B,21.93706304,3,1
6482,ERLOTINIB,TOPOTECAN,ES2,26.16252976,3,1
6483,ERLOTINIB,TOPOTECAN,HCT116,32.08496121,3,1
6484,ERLOTINIB,TOPOTECAN,HT144,21.41281544,3,1
6485,ERLOTINIB,TOPOTECAN,HT29,22.53932867,3,1
6486,ERLOTINIB,TOPOTECAN,KPL1,27.57395354,3,1
6488,ERLOTINIB,TOPOTECAN,LOVO,32.12638544,3,1
6492,ERLOTINIB,TOPOTECAN,NCIH2122,37.08704855,3,1
6493,ERLOTINIB,TOPOTECAN,NCIH23,29.76010548,3,1
6494,ERLOTINIB,TOPOTECAN,NCIH460,33.09865807,3,1
6495,ERLOTINIB,TOPOTECAN,NCIH520,31.44481537,3,1
6500,ERLOTINIB,TOPOTECAN,RKO,49.30660489,3,1
6502,ERLOTINIB,TOPOTECAN,SKMEL30,33.82957414,3,1
6503,ERLOTINIB,TOPOTECAN,SKMES1,25.71822543,3,1
6505,ERLOTINIB,TOPOTECAN,SW620,23.34923593,3,1
6506,ERLOTINIB,TOPOTECAN,SW837,41.81525129,3,1
6508,ERLOTINIB,TOPOTECAN,UACC62,23.24368022,3,1
6511,ERLOTINIB,TOPOTECAN,VCAP,58.19345418,3,1
6512,ERLOTINIB,TOPOTECAN,ZR751,52.94124794,3,1
6516,ETOPOSIDE,ABT-888,A427,-13.99330443,3,0
6517,ETOPOSIDE,ABT-888,CAOV3,88.90313873,3,1
6521,ETOPOSIDE,ABT-888,ES2,-14.56628388,3,0
6529,ETOPOSIDE,ABT-888,MSTO,26.68015393,3,1
6551,ETOPOSIDE,ABT-888,ZR751,23.68977919,3,1
6556,ETOPOSIDE,AZD1775,CAOV3,37.36484746,3,1
6564,ETOPOSIDE,AZD1775,KPL1,24.46834197,3,1
6565,ETOPOSIDE,AZD1775,LNCAP,21.45110565,3,1
6569,ETOPOSIDE,AZD1775,NCIH1650,34.96332912,3,1
6571,ETOPOSIDE,AZD1775,NCIH23,-147.6170918,3,0
6576,ETOPOSIDE,AZD1775,OVCAR3,63.31363492,3,1
6585,ETOPOSIDE,AZD1775,T47D,-20.69843069,3,0
6586,ETOPOSIDE,AZD1775,UACC62,25.10252076,3,1
6587,ETOPOSIDE,AZD1775,UWB1289,85.22858499,3,1
